 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  229.3190   5.8209   0.5522    3.17E+20
  229.2739   5.7599   0.6276    3.20E+20
  229.2287   5.6990   0.7031    3.26E+20
  229.1834   5.6381   0.7786    3.32E+20
  229.1380   5.5773   0.8542    3.39E+20
  229.0925   5.5165   0.9298    3.47E+20
  229.0470   5.4558   1.0054    3.55E+20
  229.0014   5.3952   1.0810    3.63E+20
  230.2224   7.2374   1.1363    2.80E+20
  230.1789   7.1751   1.0611    2.80E+20
  230.1354   7.1129   0.9860    2.81E+20
  230.0918   7.0507   0.9111    2.82E+20
  230.0481   6.9886   0.8363    2.81E+20
  230.0044   6.9266   0.7618    2.79E+20
  229.9605   6.8646   0.6875    2.75E+20
  229.9166   6.8027   0.6137    2.71E+20
  229.8726   6.7408   0.5404    2.68E+20
  229.8286   6.6790   0.4679    2.67E+20
  229.7844   6.6173   0.3967    2.68E+20
  229.7402   6.5556   0.3275    2.71E+20
  229.6959   6.4939   0.2621    2.74E+20
  229.6516   6.4324   0.2041    2.76E+20
  229.6071   6.3708   0.1616    2.79E+20
  229.5626   6.3094   0.1485    2.82E+20
  229.5180   6.2480   0.1718    2.87E+20
  229.4734   6.1866   0.2201    2.92E+20
  229.4286   6.1254   0.2809    2.98E+20
  229.3838   6.0641   0.3476    3.02E+20
  229.3389   6.0030   0.4174    3.05E+20
  229.2939   5.9419   0.4890    3.06E+20
  229.2489   5.8808   0.5618    3.08E+20
  229.2038   5.8198   0.6352    3.11E+20
  229.1586   5.7589   0.7091    3.16E+20
  229.1133   5.6980   0.7834    3.24E+20
  229.0680   5.6372   0.8579    3.34E+20
  229.0225   5.5765   0.9327    3.44E+20
  228.9770   5.5158   1.0075    3.53E+20
  228.9315   5.4552   1.0825    3.60E+20
  230.1516   7.2971   1.1598    2.86E+20
  230.1082   7.2348   1.0857    2.85E+20
  230.0647   7.1726   1.0118    2.85E+20
  230.0211   7.1105   0.9382    2.85E+20
  229.9774   7.0484   0.8651    2.83E+20
  229.9337   6.9863   0.7924    2.79E+20
  229.8899   6.9244   0.7204    2.75E+20
  229.8460   6.8624   0.6494    2.70E+20
  229.8021   6.8006   0.5795    2.66E+20
  229.7580   6.7388   0.5114    2.64E+20
  229.7139   6.6770   0.4458    2.64E+20
  229.6697   6.6154   0.3840    2.66E+20
  229.6255   6.5537   0.3282    2.68E+20
  229.5811   6.4922   0.2819    2.71E+20
  229.5367   6.4307   0.2505    2.73E+20
  229.4923   6.3692   0.2399    2.74E+20
  229.4477   6.3078   0.2526    2.77E+20
  229.4031   6.2465   0.2857    2.81E+20
  229.3583   6.1852   0.3331    2.87E+20
  229.3135   6.1240   0.3895    2.91E+20
  229.2687   6.0629   0.4517    2.95E+20
  229.2237   6.0018   0.5175    2.97E+20
  229.1787   5.9407   0.5858    2.98E+20
  229.1336   5.8798   0.6557    3.01E+20
  229.0885   5.8188   0.7268    3.06E+20
  229.0432   5.7580   0.7988    3.15E+20
  228.9979   5.6972   0.8714    3.25E+20
  228.9525   5.6365   0.9445    3.37E+20
  228.9070   5.5758   1.0180    3.47E+20
  228.8615   5.5152   1.0918    3.55E+20
  230.0808   7.3568   1.1901    2.93E+20
  230.0374   7.2945   1.1174    2.92E+20
  229.9939   7.2323   1.0451    2.90E+20
  229.9504   7.1702   0.9734    2.88E+20
  229.9067   7.1081   0.9023    2.85E+20
  229.8630   7.0461   0.8322    2.80E+20
  229.8193   6.9841   0.7632    2.75E+20
  229.7754   6.9222   0.6956    2.69E+20
  229.7315   6.8604   0.6299    2.65E+20
  229.6875   6.7986   0.5667    2.61E+20
  229.6434   6.7369   0.5071    2.60E+20
  229.5992   6.6752   0.4524    2.61E+20
  229.5550   6.6136   0.4046    2.62E+20
  229.5107   6.5520   0.3665    2.64E+20
  229.4663   6.4905   0.3412    2.66E+20
  229.4219   6.4291   0.3317    2.67E+20
  229.3773   6.3677   0.3393    2.69E+20
  229.3327   6.3064   0.3630    2.72E+20
  229.2880   6.2451   0.3999    2.77E+20
  229.2433   6.1839   0.4468    2.82E+20
  229.1984   6.1228   0.5008    2.85E+20
  229.1535   6.0617   0.5599    2.87E+20
  229.1085   6.0007   0.6226    2.88E+20
  229.0635   5.9397   0.6880    2.90E+20
  229.0183   5.8788   0.7554    2.95E+20
  228.9731   5.8180   0.8242    3.03E+20
